Group:19PI1
Spec:Software Engineering
Анисимова Диана Максимовна
Баранов Михаил Денисович
Беспалов Виктор Даниилович
Блинова Елизавета Андреевна
Большаков Антон Артемьевич
Данилова Алиса Михайловна
Егоров Александр Глебович
Егорова Полина Романовна
Иванов Максим Маратович
Климов Денис Петрович
Козин Демид Артемьевич
Козлова Алина Фёдоровна
Козырева Ульяна Андреевна
Крылов Арсений Фёдорович
Лаврентьева Ольга Матвеевна
Лебедев Лев Иванович
Лыков Даниил Степанович
Орлова Дарья Андреевна
Петухова Мария Львовна
Родионова Мирослава Романовна
Романова Вера Елисеевна
Седова Дарья Тимуровна
Семенов Мирон Андреевич
Семенов Лев Глебович
Сотникова Вероника Тимофеевна
Уваров Дмитрий Елисеевич
Group:19PI2
Spec:Software Engineering
Белов Константин Владимирович
Богомолов Дмитрий Васильевич
Болдырева Дарья Арсеньевна
Борисова Валерия Максимовна
Васильев Даниил Максимович
Волкова Арина Максимовна
Воронков Егор Михайлович
Гончарова Елизавета Александровна
Зайцев Тимофей Степанович
Иванова Таисия Александровна
Кравцов Константин Максимович
Кузнецов Дмитрий Никитич
Кузьмин Савва Львович
Лазарева Вера Кирилловна
Матвеева Варвара Никитична
Некрасова Александра Алексеевна
Никитин Матвей Николаевич
Петрова Вера Ильинична
Плотников Иван Тимурович
Прохоров Владимир Фёдорович
Родионов Илья Артёмович
Синицына Василиса Александровна
Смирнов Лука Романович
Сорокина Мария Дмитриевна
Судакова Диана Тимофеевна
Ульянова Ксения Сергеевна
