Кариева Анастасия Владиленовна
Лешев Иван Проклович
Янкова Дина Тимуровна
Тихоненко Александра Марковна
Нечаев Вацлав Эдуардович
Мельник Валерьян Ермолаевич
Мышкина Всеслава Трофимовна
Братцев Федот Чеславович
Полтанов Евгений Ефремович
Курбанова Розалия Казимировна

Лисов Савелий Кириллович
Блинова Оксана Федотовна
Берёзкина Нона Антониновна
Савкина Эмилия Мироновна
Убыша Оксана Захаровна
Симонов Иннокентий Демьянович
Задорожный Прокл Федотович
Эристова Антонина Казимировна
Кулакова Ярослава Алексеевна
Поличева Майя Александровна

Ягафарова Лидия Серафимовна
Эссена Наталья Павеловна
Машлыкин Вацлав Никанорович
Сияница Антонина Семеновна
Булка Михей Зиновиевич
Сьянова Жанна Тимуровна
Чикунов Данила Потапович
Голубова Евгения Георгиевна
Маркова Валерия Владленовна
Яблочкин Адриан Михаилович
Мурзинов Михаил Денисович

